,course,motivation_required,motivation_currentskills,motivation_careeradv,motivation_careerchange,motivation_profdev,motivation_jobdisplace,motivation_relocation,motivation_cert,motivation_financial,motivation_personal,motivation_curiosity,event_openhouse,event_collegefair,hear_tv,hear_radio,age,interest_cyber,interest_appdev,interest_data,interest_gamedesign,interest_ai,interest_hardware&repair,interest_programming,interest_webdev
82,CMP 126 Computer Technology and Applications,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,19-20,1,0,0,1,0,1,0,0
83,CMP 126 Computer Technology and Applications,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-20,0,0,0,0,0,0,0,0
84,CMP 126 Computer Technology and Applications,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19-20,0,0,0,0,0,0,0,0
85,CMP 126 Computer Technology and Applications,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35-64,1,0,1,0,1,0,0,0
86,CMP 126 Computer Technology and Applications,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,25-34,1,1,1,0,1,1,1,1
87,CMP 101 Computer Information Literacy,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,21-24,1,0,0,1,0,0,1,0
88,CMP 126 Computer Technology and Applications,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,19-20,1,1,0,0,0,0,0,1
89,CMP 126 Computer Technology and Applications,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19-20,0,0,0,1,1,0,0,0
90,CMP 101 Computer Information Literacy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19-20,0,0,0,0,0,0,0,0
91,CMP 126 Computer Technology and Applications,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,21-24,0,0,0,0,1,1,0,0
